alpha,Episodes
0.05,497.725
0.1,273.427
0.15,196.183
0.2,159.673
0.25,137.094
0.3,121.887
0.35,112.613
0.4,104.123
0.45,99.4
0.5,95.281
0.55,91.827
0.6,91.226
0.65,88.229
0.7,87.661
0.75,86.071
0.8,86.248
0.85,85.299
0.9,87.213
0.95,86.492
1.0,91.109
