Actual,Greedy_Euclidean,A*_Euclidean,Greedy_Manhattan,A*_Manhattan
[0,2.054758787,4.4088099,1.07863307,1.2418527603149414]
[190,281,279,281,279]
[0,2.003676176,3.895218849,1.135021687,1.2613708972930908]
[181,238,238,238,238]
[0,1.63957715,2.827469349,0.9356353283,1.0092575550079346]
[190,297,295,297,295]
[0,1.822438717,3.623503447,1.138735294,1.246798038482666]
[188,280,280,280,280]
[0,1.925221443,4.282873869,1.111388445,1.272721290588379]
[185,266,264,268,264]
[0,1.841588974,3.600087404,1.059799433,1.1591558456420898]
[177,284,302,306,302]
[0,2.094236851,3.164889574,1.221336603,1.270794153213501]
[189,256,256,256,256]
[0,1.745383263,3.37969327,0.9998207092,1.1318352222442627]
[188,259,259,259,259]
[0,2.01098609,4.690155506,1.061166286,1.2332074642181396]
[189,253,253,253,253]
[0,1.999878883,4.641244888,1.034877777,1.222141981124878]
[186,287,287,289,287]
[0,1.841997623,3.397315264,1.119758606,1.1947190761566162]
[190,270,266,270,266]
[0,1.918699265,4.547174454,1.07767868,1.23844313621521]
[186,256,256,256,256]
[0,2.056523323,4.072954416,1.070212126,1.223832130432129]
[181,292,290,295,290]
[0,2.116284609,3.853726625,1.19379425,1.2794337272644043]
[188,275,275,275,275]
[0,1.728821993,3.226368904,1.067279577,1.1572937965393066]
[184,257,257,257,257]
[0,2.002905607,3.682739258,1.061613321,1.176912546157837]
[187,284,282,284,282]
[0,2.007787704,4.195797205,1.134110451,1.2608675956726074]
[188,287,287,287,287]
[0,2.115172386,3.944108963,1.154039145,1.2704486846923828]
[187,276,276,276,276]
[0,2.024836779,3.848222494,1.121056557,1.2413599491119385]
[178,272,282,272,282]
[0,1.970360279,3.790016413,1.097171068,1.2456276416778564]
[192,287,285,287,285]
[0,2.029278994,4.801337242,1.158122301,1.3219714164733887]
[185,260,260,260,260]
[0,1.681610107,2.920851707,1.008111715,1.100376844406128]
[184,265,265,265,265]
[0,1.714720964,3.423486471,1.032890558,1.1264839172363281]
[185,251,251,251,251]
[0,1.98909688,4.290662766,1.03823781,1.1820464134216309]
[191,258,258,258,258]
[0,2.079671621,4.748381376,1.067533731,1.2396728992462158]
[180,287,287,291,287]
[0,2.145614147,3.796774626,1.151172161,1.2570457458496094]
[187,246,246,246,246]
[0,1.857322693,3.346330404,0.9983794689,1.0989043712615967]
[184,269,269,269,269]
[0,2.165740252,4.308642387,1.112794161,1.2181494235992432]
[184,257,257,257,257]
[0,1.829054594,3.593995094,1.024709702,1.157637119293213]
[190,316,308,310,308]
[0,2.205573559,4.613485098,1.232459545,1.3629753589630127]
[185,273,273,273,273]
[0,1.898475647,3.401118279,1.077331543,1.171104907989502]
[187,294,294,296,294]
[0,2.166572332,4.791285038,1.193661213,1.350337266921997]
[185,300,300,300,300]
[0,2.350128412,4.876277685,1.269971132,1.404237985610962]
[189,250,250,250,250]
[0,1.796734333,3.936434984,1.005974054,1.13149094581604]
[184,264,264,264,264]
[0,2.0105474,4.005526304,1.079162121,1.207277774810791]
[188,254,254,254,254]
[0,1.526912451,3.188820601,0.9633862972,1.089233160018921]
[185,269,269,269,269]
[0,2.102916002,3.842432022,1.098396063,1.2272982597351074]
[185,270,270,270,270]
[0,1.796920538,3.674886942,1.071098804,1.170259714126587]
[183,268,268,268,268]
[0,2.070762396,3.859569073,1.080422878,1.2001123428344727]
[184,262,262,262,262]
[0,1.842686653,3.819305658,1.052623987,1.1591532230377197]
[188,255,255,255,255]
[0,1.812969923,4.018294573,1.01317811,1.1702709197998047]
[181,239,239,239,239]
[0,1.793488264,3.439172745,0.9514164925,1.0800471305847168]
[183,274,274,274,274]
[0,2.417875767,4.064813852,1.162503242,1.288450002670288]
[187,256,256,256,256]
[0,2.1520679,4.008996487,1.081100225,1.206939458847046]
[188,270,268,280,268]
[0,1.750111818,3.448321342,1.08172822,1.1502540111541748]
[186,265,265,265,265]
[0,1.693632126,3.290366888,1.02423811,1.1441810131072998]
[187,253,253,253,253]
[0,1.892910004,4.179175615,1.041460752,1.1846530437469482]
[190,284,284,284,284]
[0,1.938071966,4.257920265,1.126845837,1.2609000205993652]
[186,269,269,269,269]
[0,1.651479959,3.404299259,1.023964643,1.148413896560669]
[191,245,245,245,245]
[0,1.881515265,4.151558876,1.001039028,1.1545565128326416]
[190,280,276,280,276]
[0,2.342895985,5.518734932,1.187942028,1.378981113433838]
[187,276,276,276,276]
[0,2.086426497,3.769408226,1.13124609,1.226548194885254]
[184,247,247,247,247]
[0,1.943865538,3.572423458,1.016784668,1.1287152767181396]
[183,247,247,247,247]
[0,1.889271975,3.671822548,1.031529665,1.1315972805023193]
[185,274,272,274,272]
[0,1.682134151,3.101744652,1.043390512,1.1490161418914795]
[187,282,280,282,280]
[0,2.069578409,4.504298925,1.13072753,1.2897253036499023]
[189,282,282,282,282]
[0,2.36331749,5.068501472,1.166048288,1.3663849830627441]
[190,269,269,269,269]
[0,2.62435317,4.662205935,1.211281538,1.3566100597381592]
[186,259,259,259,259]
[0,1.413183689,2.648116589,0.9577913284,1.0439341068267822]
[192,271,271,271,271]
[0,2.142042875,4.410013914,1.108254671,1.2715134620666504]
[186,289,289,289,289]
[0,1.827131033,3.89249897,1.111948013,1.244391679763794]
[188,281,273,279,273]
[0,1.832388401,3.57772994,1.086676121,1.187093734741211]
[183,293,293,284,293]
[0,1.973029613,3.331238031,1.12365222,1.237635850906372]
[189,262,262,262,262]
[0,1.888180494,3.853195429,1.044682264,1.181746006011963]
[187,272,272,272,272]
[0,1.949883461,3.987290859,1.068868876,1.2265734672546387]
[192,303,299,301,299]
[0,2.058661222,4.210588694,1.184811115,1.3359577655792236]
[180,261,261,261,261]
[0,1.962866545,3.892795801,1.072910309,1.1820144653320312]
[188,266,266,266,266]
[0,1.903096914,3.918017149,1.065053701,1.197249174118042]
[188,267,267,267,267]
[0,1.961362123,4.289816856,1.078305721,1.2447361946105957]
[188,291,289,289,289]
[0,1.971642733,3.942464352,1.141508102,1.256950855255127]
[188,261,261,261,261]
[0,1.84257102,4.366269588,1.045631886,1.2211802005767822]
[183,259,259,259,259]
[0,1.87940836,3.184092999,1.035574436,1.1178309917449951]
[188,272,272,272,272]
[0,2.175333738,4.541496038,1.130344391,1.2583253383636475]
[182,278,272,274,272]
[0,1.958374023,3.719268799,1.093608379,1.1955602169036865]
[186,277,277,273,277]
[0,1.932848215,3.887531281,1.088038921,1.2315049171447754]
[184,299,297,299,297]
