Actual,Greedy_Euclidean,A*_Euclidean,Greedy_Manhattan,A*_Manhattan
[67,76,76,76,76]
[0,0.1368112564,0.1825449467,0.09802722931,0.10314035415649414]
[60,88,88,88,88]
[0,0.1411693096,0.1644775867,0.1115529537,0.11463785171508789]
[64,92,92,92,92]
[0,0.1411931515,0.174631834,0.1152551174,0.11820578575134277]
[68,92,92,92,92]
[0,0.1606900692,0.2383050919,0.1185200214,0.1265428066253662]
[69,85,85,85,85]
[0,0.1379032135,0.1847403049,0.1076071262,0.1111910343170166]
[62,81,81,81,81]
[0,0.136523962,0.1785879135,0.1032965183,0.10726690292358398]
[65,103,103,105,103]
[0,0.1709702015,0.2271783352,0.1335937977,0.13586068153381348]
[61,79,77,79,77]
[0,0.1165018082,0.1271519661,0.09662747383,0.0958871841430664]
[58,97,97,97,97]
[0,0.149522543,0.1681890488,0.1211135387,0.1237802505493164]
[61,80,80,80,80]
[0,0.138985157,0.183049202,0.1032223701,0.10778331756591797]
[61,85,85,85,85]
[0,0.1664659977,0.2328836918,0.1118898392,0.11972522735595703]
[61,102,102,102,102]
[0,0.1625666618,0.2009136677,0.1282842159,0.13112235069274902]
[62,87,87,87,87]
[0,0.1510663033,0.1833159924,0.1115627289,0.11423802375793457]
[71,95,95,95,95]
[0,0.1535594463,0.2221598625,0.1203033924,0.12517690658569336]
[58,92,92,92,92]
[0,0.1387455463,0.1590368748,0.1148021221,0.11728739738464355]
[64,103,103,103,103]
[0,0.1509497166,0.1735706329,0.1270444393,0.12936830520629883]
[62,85,85,85,85]
[0,0.142791748,0.1932032108,0.1100902557,0.1148538589477539]
[64,88,88,88,88]
[0,0.1354393959,0.1772108078,0.1109070778,0.11361098289489746]
[59,89,89,89,89]
[0,0.155151844,0.1912825108,0.115437746,0.11899065971374512]
[67,88,88,88,88]
[0,0.1508162022,0.2120087147,0.1128950119,0.11777710914611816]
[66,84,84,84,84]
[0,0.1357643604,0.175760746,0.1063461304,0.10924100875854492]
[63,93,93,93,93]
[0,0.1547234058,0.2108216286,0.1183180809,0.12389755249023438]
[63,95,95,95,95]
[0,0.1606059074,0.2134203911,0.1214122772,0.1268446445465088]
[62,76,76,76,76]
[0,0.1289258003,0.1633508205,0.09734201431,0.09972500801086426]
[64,88,88,88,88]
[0,0.1517724991,0.1751124859,0.1122610569,0.11579394340515137]
[64,90,90,96,90]
[0,0.1633760929,0.2357492447,0.1239693165,0.12287354469299316]
[59,86,86,86,86]
[0,0.1428308487,0.1767275333,0.1099710464,0.1123812198638916]
[65,83,83,83,83]
[0,0.1274731159,0.1523172855,0.1030702591,0.10544610023498535]
[63,79,79,79,79]
[0,0.1223897934,0.1547789574,0.09933042526,0.1016855239868164]
[61,84,84,84,84]
[0,0.130751133,0.1599195004,0.106754303,0.1095895767211914]
[65,86,86,86,86]
[0,0.1339321136,0.166223526,0.1095066071,0.11311554908752441]
[68,91,91,91,91]
[0,0.1511776447,0.2150688171,0.1174914837,0.12328124046325684]
[67,83,83,85,83]
[0,0.1297039986,0.1739289761,0.1062009335,0.10783171653747559]
[69,88,88,88,88]
[0,0.1397340298,0.1976950169,0.111120224,0.1162104606628418]
[68,81,81,81,81]
[0,0.1159055233,0.1310968399,0.09876155853,0.1003119945526123]
[59,87,87,87,87]
[0,0.1316626072,0.1362299919,0.1077525616,0.10874009132385254]
[68,86,86,86,86]
[0,0.1434168816,0.2050428391,0.1099231243,0.11575102806091309]
[64,91,91,91,91]
[0,0.159250021,0.2262196541,0.117348671,0.12448406219482422]
[61,79,79,79,79]
[0,0.1418852806,0.1628711224,0.1021850109,0.10568833351135254]
[62,86,86,86,86]
[0,0.1445727348,0.1869843006,0.1086156368,0.11253809928894043]
[63,94,94,99,94]
[0,0.1632425785,0.2213969231,0.1265649796,0.12673401832580566]
[63,88,88,88,88]
[0,0.1326694489,0.161154747,0.1094479561,0.11211180686950684]
[63,84,84,84,84]
[0,0.1414554119,0.1745591164,0.1071746349,0.11002779006958008]
[64,85,85,85,85]
[0,0.1394901276,0.1757233143,0.1080040932,0.11128520965576172]
[62,79,77,79,77]
[0,0.1138691902,0.1174793243,0.09630680084,0.095367431640625]
[65,92,92,92,92]
[0,0.1535534859,0.2057449818,0.117057085,0.12213492393493652]
[64,79,79,79,79]
[0,0.1155359745,0.1252639294,0.09672307968,0.09763550758361816]
[64,91,91,91,91]
[0,0.1437170506,0.1741640568,0.1142761707,0.11714720726013184]
[61,81,81,83,81]
[0,0.1363003254,0.1634733677,0.1059727669,0.10523366928100586]
[64,91,91,91,91]
[0,0.1497478485,0.2005882263,0.1148414612,0.12094640731811523]
[67,94,94,94,94]
[0,0.1691191196,0.2618083954,0.1221270561,0.12894010543823242]
[56,95,95,95,95]
[0,0.1631844044,0.1805448532,0.1238331795,0.1252729892730713]
[57,83,83,83,83]
[0,0.1306080818,0.1584701538,0.1054677963,0.10635828971862793]
[60,83,83,83,83]
[0,0.1467177868,0.1823894978,0.1077313423,0.11131906509399414]
[60,91,87,91,87]
[0,0.1566858292,0.185377121,0.1170220375,0.11569786071777344]
[66,82,82,82,82]
[0,0.1275174618,0.1714456081,0.10303092,0.10543489456176758]
[65,92,92,92,92]
[0,0.1569857597,0.1877660751,0.118342638,0.12080049514770508]
[60,77,77,77,77]
[0,0.1208255291,0.1448316574,0.09580349922,0.0976109504699707]
[62,78,78,78,78]
[0,0.1301445961,0.1663599014,0.09948658943,0.10270237922668457]
[66,87,87,87,87]
[0,0.1320183277,0.1725158691,0.1080458164,0.11079025268554688]
[56,91,91,91,91]
[0,0.1447589397,0.1752679348,0.114512682,0.11647772789001465]
[62,91,91,91,91]
[0,0.1549417973,0.1911644936,0.1163210869,0.12015128135681152]
[58,82,82,82,82]
[0,0.134729147,0.152620554,0.1044442654,0.10554695129394531]
[63,73,73,73,73]
[0,0.1069989204,0.116972208,0.08965802193,0.09173178672790527]
[57,93,93,93,93]
[0,0.1452517509,0.1657664776,0.1161830425,0.11748099327087402]
[67,95,95,95,95]
[0,0.1615784168,0.2383830547,0.1217987537,0.12720537185668945]
[63,80,80,80,80]
[0,0.1231622696,0.1397621632,0.09885549545,0.1005091667175293]
[59,81,81,81,81]
[0,0.1385302544,0.1725594997,0.1033186913,0.10634016990661621]
[57,94,94,94,94]
[0,0.147649765,0.170712471,0.118704319,0.12093806266784668]
[65,88,88,88,88]
[0,0.1381173134,0.1844286919,0.1111824512,0.11520648002624512]
[66,82,82,82,82]
[0,0.1418018341,0.2036566734,0.105348587,0.11240720748901367]
[66,94,94,94,94]
[0,0.1684167385,0.2348511219,0.1213169098,0.1262373924255371]
[58,95,95,95,95]
[0,0.1487047672,0.1824717522,0.1189367771,0.1222383975982666]
[59,89,89,89,89]
[0,0.1416120529,0.154399395,0.1134626865,0.11487078666687012]
[67,91,91,93,91]
[0,0.1588146687,0.2218427658,0.1193585396,0.12278270721435547]
[61,82,82,82,82]
[0,0.1356160641,0.15995574,0.1040649414,0.10561776161193848]
[60,93,93,93,93]
[0,0.1509144306,0.1858460903,0.1173117161,0.12114882469177246]
[63,79,79,79,79]
[0,0.1402015686,0.1927247047,0.1029014587,0.10735130310058594]
[66,80,80,80,80]
[0,0.1244056225,0.1514437199,0.1007914543,0.10349059104919434]
[59,85,85,85,85]
[0,0.1371746063,0.1679029465,0.1076202393,0.1107933521270752]
[63,82,82,82,82]
[0,0.1397020817,0.1672716141,0.1051106453,0.1076517105102539]
[64,101,101,101,101]
[0,0.1664478779,0.2226192951,0.1287312508,0.1340656280517578]
[63,83,83,83,83]
[0,0.1302306652,0.1631813049,0.1041243076,0.10712528228759766]
[60,85,85,85,85]
[0,0.1329665184,0.1647350788,0.105250597,0.10812592506408691]
[67,74,74,74,74]
[0,0.1172816753,0.136977911,0.09295201302,0.0950782299041748]
[62,94,94,94,94]
[0,0.1604614258,0.2073214054,0.1204612255,0.1252603530883789]
[65,95,95,95,95]
[0,0.1662683487,0.2493584156,0.1233963966,0.12963414192199707]
[61,73,73,73,73]
[0,0.1114046574,0.1350667477,0.09148192406,0.09406495094299316]
[69,89,89,89,89]
[0,0.1656980515,0.2348909378,0.1168699265,0.12493062019348145]
[60,72,72,72,72]
[0,0.120105505,0.1521644592,0.09184813499,0.0956428050994873]
[62,82,82,82,82]
[0,0.1262738705,0.1486811638,0.102946043,0.10444808006286621]
[63,82,82,82,82]
[0,0.1312332153,0.1624155045,0.104309082,0.10700464248657227]
[61,92,92,92,92]
[0,0.1494338512,0.1739845276,0.1169292927,0.11994338035583496]
[66,93,93,93,93]
[0,0.170466423,0.2355160713,0.1216602325,0.12617969512939453]
[55,89,89,89,89]
[0,0.1318120956,0.13905406,0.1096203327,0.11111807823181152]
[65,87,87,87,87]
[0,0.1386511326,0.173101902,0.109708786,0.11226367950439453]
[63,85,85,85,85]
[0,0.1444816589,0.1935477257,0.1087400913,0.11377191543579102]
[68,84,84,84,84]
[0,0.1494820118,0.2277154922,0.1090028286,0.1151583194732666]
[59,98,98,98,98]
[0,0.1442551613,0.1610922813,0.1206691265,0.1228330135345459]
[65,78,78,78,78]
[0,0.1245970726,0.1469213963,0.0981490612,0.10000038146972656]
[67,90,90,90,90]
[0,0.1557710171,0.2330832481,0.1159446239,0.12157773971557617]
[59,85,85,85,85]
[0,0.1434466839,0.1723840237,0.1085498333,0.11055111885070801]
[65,98,98,98,98]
[0,0.1617665291,0.2051079273,0.1245028973,0.12805914878845215]
[67,94,94,94,94]
[0,0.1596550941,0.2297739983,0.1197142601,0.12659168243408203]
[60,81,81,81,81]
[0,0.1559786797,0.1995897293,0.1067800522,0.11036539077758789]
[60,73,73,73,73]
[0,0.1150615215,0.1326880455,0.09110355377,0.09305977821350098]
[61,78,78,78,78]
[0,0.121021986,0.1300263405,0.0964858532,0.09768080711364746]
[62,80,80,80,80]
[0,0.1237573624,0.155241251,0.1004631519,0.10298323631286621]
[64,87,87,87,87]
[0,0.1304428577,0.1448674202,0.1068201065,0.10869002342224121]
[64,80,80,80,80]
[0,0.1414678097,0.2042560577,0.1032409668,0.10858488082885742]
[66,86,86,86,86]
[0,0.1306862831,0.1605937481,0.1069862843,0.10964632034301758]
[64,88,88,88,88]
[0,0.1422567368,0.1933164597,0.1111707687,0.11479783058166504]
[63,94,94,94,94]
[0,0.1617724895,0.1971905231,0.1201615334,0.12415075302124023]
[62,82,82,82,82]
[0,0.1259670258,0.1520488262,0.1011230946,0.10370922088623047]
[65,77,77,77,77]
[0,0.1310739517,0.1732876301,0.09874606133,0.10300588607788086]
[68,88,88,88,88]
[0,0.1589047909,0.2291407585,0.1143205166,0.1196434497833252]
[57,87,87,87,87]
